src_mac,node_position,node_instance,timestamp_us,message_type,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed_kts,heading,utc_time_year,utc_time_month,utc_time_day,utc_time_hours,utc_time_minutes,utc_time_seconds,utc_time_millis,magic,error
58:8C:81:40:BE:24,Center,1,124018,Imu,-0.039772,0.06954,0.99991196,-1.61,40.005,-3.57,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,155066,Gps,,,,,,,43.477664833333336,-80.5459795,342.3,0.022,63,2026,3,8,21,33,11,0,,
58:8C:81:40:BE:24,Center,1,185943,Imu,-0.02318,0.05734,0.971364,-1.715,39.48,-3.605,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,217115,Imu,-0.02562,0.07442,1.0284599,-1.75,39.97,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,247898,Imu,-0.010004,0.070272006,1.0523721,-1.75,39.515,-3.535,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,278946,Imu,-0.020008,0.080276,0.996252,-1.575,36.505,-3.465,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,310152,Imu,0.02806,0.032452,1.060912,-1.225,-0.525,-0.875,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,340906,Imu,0.028548,0.044164002,1.03334,-0.455,-2.555,-1.05,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,371863,Imu,-0.019032,0.06222,1.047004,-1.75,39.69,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:1C,Center,0,402142,Imu,0.019764,0.048068002,1.038708,1.715,-1.89,-1.155,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,432862,Imu,-0.013664001,0.066612,0.99478805,-1.61,36.435,-3.43,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,463230,Imu,-0.016104,0.059292,1.040416,-1.68,39.48,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,501197,Imu,-0.020008,0.077592,0.974048,-1.68,39.41,-3.5,,,,,,,,,,,,,,
58:8C:81:40:BE:24,Center,1,531338,Imu,-0.029524,0.060512003,1.02724,-1.715,36.715,-3.57,,,,,,,,,,,,,,
